"AGEGR","Group","Impute","est","se","n.all","n.impute","I2","IR.est","IR.lci","IR.uci"
"0-<3m","H",0,-3.93070505026997,0.567541543645146,3,0,"1.7",19.6298276576756,6.45379805451715,59.705948437656
"0-<3m","L",0,-4.8243057159045,0.267261242339121,2,0,"0.0",8.03212851405835,4.75700147772811,13.5621333666604
"0-<3m","LM",0,-2.86317572518971,0.473628035309799,7,0,"83.8",57.0871788997748,22.5620345064054,144.443799773893
"0-<3m","UM",0,-2.1074690870087,0.396014138976694,5,0,"91.0",121.545197801599,55.9298641319676,264.138583883776
"3-<6m","H",0,-4.02131212555189,0.670359283901023,3,0,"43.5",17.929423843288,4.81886757245184,66.7094985531434
"3-<6m","L",0,-2.48952940683602,0.317830416565131,2,0,"88.8",82.9489926206438,44.4906144494272,154.651390229748
"3-<6m","LM",0,-1.95043475257599,0.201747167903156,7,0,"72.7",142.212231011044,95.7648854231201,211.187206665376
"3-<6m","UM",0,-2.39061222057632,0.590876548633581,5,0,"95.1",91.5736034681753,28.7611357614735,291.564454258429
"0-<6m","H",0,-3.5406062931212,0.41214344523953,4,0,"43.2",28.9957418330105,12.9273837551915,65.0365967598785
"0-<6m","L",0,-2.57898649405577,0.29316357790553,5,0,"91.7",75.8508403568043,42.6986870804547,134.743018491241
"0-<6m","LM",0,-2.24402840080295,0.261457934703938,7,0,"88.2",106.030509500978,63.5145698578083,177.006141586186
"0-<6m","UM",0,-2.03440827647402,0.425056207678552,6,0,"97.0",130.757832102441,56.8398028922526,300.803482526864
"6-<12m","H",0,-3.42792045176788,0.249999998137355,4,0,"0.0",32.4543610559036,19.8823982618237,52.9757797664364
"6-<12m","L",0,-2.67738744944316,0.397939939740741,5,0,"96.2",68.7425130509187,31.5131698094999,149.954229584711
"6-<12m","LM",0,-2.24994962812784,0.187048004136982,8,0,"84.2",105.404533851848,73.0534644454612,152.081983255151
"6-<12m","UM",0,-2.47278300642619,0.387122672915012,6,0,"93.7",84.3497860518923,39.4964910444173,180.13970909463
"0-<12m","H",0,-3.25636242290624,0.295979078439098,5,0,"77.6",38.5282930600909,21.5693615791688,68.8212008814335
"0-<12m","L",0,-2.54671212225875,0.304138874633814,5,0,"96.8",78.338811472586,43.1607260458357,142.188742988708
"0-<12m","LM",0,-2.19655579115823,0.156992201274379,8,0,"88.3",111.185445540592,81.7360189657784,151.245478510958
"0-<12m","UM",0,-2.21798642609033,0.411279877908417,6,0,"98.0",108.828021617419,48.6017866312835,243.685245133317
"12-<60m","L",0,-3.32709973169454,0.743782794543301,2,0,"99.6",35.8970653593344,8.35484215829103,154.233829556381
"12-<60m","LM",0,-3.67368307507962,0.195963186571933,4,0,"86.6",25.3828107778533,17.2875114310287,37.2689317114723
"0-<60m","H",0,-3.68697546877063,0.104257207501358,2,0,"0.0",25.0476449768582,20.4183842450985,30.7264527572662
"0-<60m","L",0,-2.83560911819783,0.499825683112165,3,0,"99.5",58.6827702020456,22.0318210986427,156.304261148809
"0-<60m","LM",0,-3.31810308445018,0.09964075880156,5,0,"65.2",36.221475708079,29.795468174955,44.0333843645986
"0-<60m","H",1,-3.7188010364693,0.287819261665522,7,5,"96.9",24.2630409146342,13.8022067617197,42.6522486286727
"0-<60m","L",1,-3.00999507761204,0.264346379569317,7,4,"98.5",49.2919213938254,29.3602376310518,82.7545589115185
"0-<60m","LM",1,-2.96897557372378,0.156253230190878,9,4,"95.2",51.3558937203841,37.8081003289424,69.7582739379375
"0-<60m","UM",1,-2.89657640900665,0.395837875748864,6,6,"99.1",55.2119198882278,25.4149258546121,119.943536927175
