"AGEGR","Group","Impute","est","se","n.all","n.impute","I2","IR.est","IR.lci","IR.uci"
"0-<3m","H",0,-3.36002479244931,0.245821484483045,19,0,"99.8",34.734397783267,21.4541988531307,56.2350707022634
"0-<3m","L",0,-4.55123736318355,0.589706418740653,6,0,"99.1",10.5541370004119,3.32241967442233,33.526712077044
"0-<3m","LM",0,-3.47448599799182,0.305585796666856,11,0,"98.3",30.9777523586682,17.0188426177081,56.3858050015982
"0-<3m","UM",0,-3.63459607869768,0.369837320789732,16,0,"99.7",26.3945935731535,12.7850695863034,54.491261481932
"3-<6m","H",0,-3.87871429532627,0.216263531662147,21,0,"99.7",20.6773931197663,13.5334508526883,31.5924290769066
"3-<6m","L",0,-5.1197577297877,0.968210542548389,6,0,"99.8",5.97747088273652,0.896107304043697,39.8726335481589
"3-<6m","LM",0,-3.9522944434783,0.261835100231886,13,0,"98.3",19.2105735946394,11.4990455819287,32.0936320502137
"3-<6m","UM",0,-3.88075480443099,0.28396967491149,16,0,"99.4",20.6352437285765,11.8274122781406,36.0022356305905
"0-<6m","H",0,-3.56029459871799,0.173646868857175,27,0,"99.9",28.4304479068416,20.2289109700109,39.9571864932281
"0-<6m","L",0,-4.84159077970925,0.521520231346797,10,0,"99.5",7.89448566986195,2.84051350041194,21.9407174028982
"0-<6m","LM",0,-3.58019630845607,0.26209323327396,12,0,"99.0",27.8702265570485,16.6740935967717,46.5842130388183
"0-<6m","UM",0,-3.71563917998,0.310473848332907,16,0,"99.8",24.3398785788196,13.2445660154217,44.7300189784904
"6-<12m","H",0,-4.49424847335217,0.205535032212021,27,0,"99.7",11.1730743237668,7.46823089034304,16.7158182007791
"6-<12m","L",0,-5.16793561496623,0.394636336085564,10,0,"98.8",5.69631607927544,2.62828737349292,12.3456883757309
"6-<12m","LM",0,-4.41092244345983,0.321511686465951,13,0,"99.2",12.1439710350041,6.4667258540604,22.8053633055155
"6-<12m","UM",0,-4.41830903020552,0.308615376537415,15,0,"99.7",12.0545990229336,6.58345781273157,22.0724977264521
"0-<12m","H",0,-3.81600102757696,0.130326149612918,41,0,"100.0",22.0156651315746,17.0528099766332,28.4228529989942
"0-<12m","L",0,-4.64250446218985,0.339664578161862,13,0,"99.9",9.63354055185668,4.95059733776022,18.7462435808311
"0-<12m","LM",0,-4.04701761804917,0.212394794348903,20,0,"99.6",17.474412374789,11.5241388280077,26.4969983789208
"0-<12m","UM",0,-3.97751643783122,0.311737499204828,15,0,"99.9",18.7321039596969,10.1678760408607,34.5098344380671
"12-<60m","H",0,-6.4343916538986,0.137691828025968,17,0,"99.9",1.60538503512205,1.22567001090471,2.10273653435599
"12-<60m","L",0,-6.45118215364245,0.542257881577834,9,0,"99.3",1.57865485264219,0.545390993348464,4.56947616327511
"12-<60m","LM",0,-6.43656075358024,0.265878500545999,12,0,"99.5",1.60190656888731,0.951298547462536,2.69747563715836
"12-<60m","UM",0,-6.50129420061652,0.322244868175606,8,0,"99.8",1.50149469960079,0.798405341893756,2.8237365341041
"0-<60m","H",0,-5.24789775391008,0.102056014094124,23,0,"100.0",5.25856157789042,4.30521783665089,6.42301293863837
"0-<60m","L",0,-5.75305004313417,0.384551166343718,12,0,"100.0",3.17308796708181,1.49329479396686,6.74246457398608
"0-<60m","LM",0,-5.32082768679014,0.236966424618763,16,0,"99.8",4.88870573307959,3.07244419616765,7.77864209037733
"0-<60m","UM",0,-5.54613334506441,0.239287426347596,8,0,"99.8",3.90251779743193,2.44151458497094,6.23778586170284
"0-<60m","H",1,-5.11850408245414,0.126921822342512,51,28,"100",5.98496922232472,4.66685046130369,7.67538126391302
"0-<60m","L",1,-5.64636006309333,0.293637565332223,16,4,"100",3.53034364437665,1.98548970768803,6.2772051646157
"0-<60m","LM",1,-5.09032026472001,0.215366232069198,22,6,"99.8",6.15604800643269,4.03625466718377,9.3891318022175
"0-<60m","UM",1,-5.07660771185127,0.253476059028493,16,8,"99.9",6.24104456825704,3.79746785789564,10.2570024975946
