"AGEGR","Group","Impute","est","se","n.all","n.impute","I2","prop.est","prop.lci","prop.uci"
"0-<3m","H",0,-0.561007773472341,0.771129960775307,9,0,"99.2",36.3314312463247,11.1806244734863,72.1197011519554
"0-<3m","L",0,-1.16814287635228,0.407340617623789,9,0,"93.1",23.7190832132162,12.2762035192873,40.8600159299168
"0-<3m","LM",0,-1.46815989844837,0.400653429365878,7,0,"90.9",18.7222461467063,9.50530970000218,33.5619003389289
"0-<3m","UM",0,-0.670156673022427,0.427659909177263,15,0,"98.4",33.8461759973983,18.1180470612441,54.1915581585551
"3-<6m","H",0,-0.466441146890377,0.727893068087357,10,0,"99.1",38.545892155391,13.0890098217133,72.316770576125
"3-<6m","L",0,-1.63958732707096,0.346861796782883,9,0,"88.7",16.2521222876519,8.95259843799959,27.6930613582338
"3-<6m","LM",0,-1.60477620419039,0.273421657424157,10,0,"87.1",16.7315132623646,10.5205109323735,25.5618084812289
"3-<6m","UM",0,-0.865507516928626,0.397380098524767,15,0,"97.4",29.6189953335572,16.1870972163671,47.8352909278343
"0-<6m","H",0,-0.457234501152098,0.700206440429052,10,0,"99.7",38.7642081746132,13.8281269338003,71.4056963505021
"0-<6m","L",0,-1.41316535272019,0.36107350963497,9,0,"95.9",19.5735277152404,10.7084909005203,33.0602507276497
"0-<6m","LM",0,-1.63197295754098,0.314502778213301,7,0,"92.2",16.3560265049662,9.54877049400818,26.5895598058179
"0-<6m","UM",0,-0.696931508878357,0.404814174403202,15,0,"99.0",33.249290256545,18.3866605494702,52.4107361669714
"6-<12m","H",0,-0.18984780544182,0.688623884402982,10,0,"99.0",45.2680089434731,17.6600611066695,76.1306368040349
"6-<12m","L",0,-1.71033853407001,0.395723788711714,9,0,"90.3",15.3119811497157,7.6848517630377,28.1968129329362
"6-<12m","LM",0,-1.62270208862619,0.251456142096789,10,0,"86.8",16.4832556185635,10.7594016779175,24.4189143808061
"6-<12m","UM",0,-1.1709174848734,0.565009314795193,15,0,"98.9",23.6689184610362,9.29331493738042,48.4130525017512
"0-<12m","H",0,-0.359899030001898,0.694409930602738,10,0,"99.8",41.0984008150358,15.174980430948,73.128352849884
"0-<12m","L",0,-1.51808810684958,0.372971680582022,9,0,"97.5",17.9743227945977,9.54260376220454,31.2799516153249
"0-<12m","LM",0,-1.23563715461777,0.288220301518562,11,0,"95.7",22.5196315012365,14.1784255252199,33.8334438774997
"0-<12m","UM",0,-0.799253981808363,0.432372027720613,15,0,"99.4",31.0185122009619,16.1555025423272,51.2046466450427
"12-<60m","H",0,-0.444120559117754,0.843474978056671,8,0,"99.1",39.075956168249,10.9356454373873,77.013796586164
"12-<60m","L",0,-2.34077729741459,0.488097297425012,8,0,"70.8",8.78016391772843,3.56588417052224,20.0350272419919
"12-<60m","LM",0,-1.88275903511767,0.60286589081661,8,0,"91.2",13.2072286385641,4.46008548158432,33.15591049549
"12-<60m","UM",0,-1.2875973236278,0.964301970055736,9,0,"98.4",21.6259766364359,4.00163095693942,64.6213092365528
"0-<60m","H",0,-0.426081949298959,0.811608209882592,8,0,"99.8",39.5062312962614,11.7446754860188,76.2180268052689
"0-<60m","L",0,-1.84017094639059,0.394121318381769,8,0,"96.2",13.7031076301795,6.83287927119549,25.5842028381892
"0-<60m","LM",0,-1.29927290061876,0.370825899687861,8,0,"97.4",21.4287412024685,11.6490567491835,36.0670738554144
"0-<60m","UM",0,-0.732556322454993,0.789144217198943,9,0,"99.6",32.4634010917292,9.28536674621494,69.2996615472712
