"AGEGR","Group","Impute","est","se","n.all","n.impute","prop.est","prop.lci","prop.uci"
"0-<3m","H",0,-8.08858576503119,1.07060000699931,18,0,0.030692941924062,0.00376567086059016,0.24968888985757
"0-<3m","L",0,-3.63758615972614,0.173740449842174,15,0,2.56410256410319,1.83768196102642,3.56723625843235
"0-<3m","LM",0,-4.01530795171943,0.393859968780662,15,0,1.77178157346766,0.826625183261406,3.75668566423742
"0-<3m","UM",0,-4.92909746236082,0.324595998157233,20,0,0.718108740745357,0.381380950474392,1.34811594937443
"3-<6m","H",0,-7.79934332222392,0.577473953961883,17,0,0.0409836096705272,0.0132182837189375,0.126996600630969
"3-<6m","L",0,-3.78509831185448,0.202257930655818,15,0,2.2202486678508,1.50453910517482,3.26513502620075
"3-<6m","LM",0,-4.59961536179616,0.496176550310395,20,0,0.995559233058482,0.378800192687277,2.59040792642553
"3-<6m","UM",0,-4.94593655169658,0.443894599876047,20,0,0.706202367181798,0.297073724569513,1.66934723265751
"0-<6m","H",0,-8.18366199473382,0.985656746356525,17,0,0.0279099800145615,0.00404441049207581,0.192332475247521
"0-<6m","L",0,-3.70276564400262,0.131784040557182,16,0,2.40619902120726,1.8687018565606,3.09342366370055
"0-<6m","LM",0,-4.03199103210367,0.265985031107021,17,0,1.74297892872124,1.04223912976606,2.90104281717772
"0-<6m","UM",0,-4.88568979272473,0.274264297028199,21,0,0.749727756149364,0.439340424262281,1.27658731639564
"6-<12m","H",0,-7.41112163688971,0.853839225075509,17,0,0.0604127103112544,0.0113380639914265,0.321215226799549
"6-<12m","L",0,-4.01502348337393,0.330553192074461,17,0,1.77227672711065,0.935071519255288,3.3338379801322
"6-<12m","LM",0,-4.78111319784372,0.498087335950396,20,0,0.831690670962183,0.3149477151729,2.17774532006659
"6-<12m","UM",0,-5.45161123055169,0.525029930568577,21,0,0.427106766106075,0.153043770240968,1.18611770065307
"0-<12m","H",0,-6.53617834260129,0.352441085811455,29,0,0.144791988912452,0.0726196926333959,0.288484867630995
"0-<12m","L",0,-4.18992359476869,0.309697662426341,18,0,1.49214208137474,0.818745503903619,2.70428821190296
"0-<12m","LM",0,-4.17085547249781,0.405329385815095,22,0,1.52043067890008,0.692752480760537,3.30409042973997
"0-<12m","UM",0,-4.80011832532316,0.218783262731631,27,0,0.816161325376671,0.53306694493413,1.24771196140772
"12-<60m","H",0,-6.15386022511888,0.321631412638968,17,0,0.212075476619262,0.113016843318874,0.39761283460814
"12-<60m","L",0,-4.11516958689587,0.637159525363005,16,0,1.60610054249352,0.466030930302089,5.3842959020943
"12-<60m","LM",0,-4.79698725001915,0.453196050311191,18,0,0.81869983844261,0.338418748491654,1.96713812156163
"12-<60m","UM",0,-6.7610842625005,0.962573306043864,20,0,0.115663359593221,0.0175494395131226,0.758144914837644
"0-<60m","H",0,-6.60697608933704,0.292394020481265,26,0,0.134908851492899,0.076103615196224,0.239044171392193
"0-<60m","L",0,-4.28490742575459,0.365228790153247,19,0,1.35877271258919,0.668782783422421,2.74098856032213
"0-<60m","LM",0,-4.85365620121465,0.37258335631666,26,0,0.77394415305953,0.374373933720275,1.59315690473301
"0-<60m","UM",0,-5.1391735523465,0.278689031219546,30,0,0.582836381428929,0.338367303037792,1.00215733121418
